userid,username,email,password,reputation,creation_date,is_admin,total_reviews
user_064,hamadgamer,hamadgamer@ubc.stu.ca,user_064Default123!,3,2019-06-29T00:00:00,false,3
user_065,ebrahim-asha,ebrahim-asha@ubc.stu.ca,user_065Default123!,3,2019-05-12T00:00:00,false,1
user_066,bunsen2019,bunsen2019@ubc.stu.ca,user_066Default123!,3,2019-05-20T00:00:00,false,1
user_067,spideynw,spideynw@ubc.stu.ca,user_067Default123!,3,2019-05-01T00:00:00,false,1
user_068,bienkow78,bienkow78@ubc.stu.ca,user_068Default123!,3,2019-04-30T00:00:00,false,2
user_069,benashwin,benashwin@ubc.stu.ca,user_069Default123!,3,2021-02-21T00:00:00,false,1
user_070,akshittaneja,akshittaneja@ubc.stu.ca,user_070Default123!,3,2019-05-28T00:00:00,false,1
user_071,Harikl,harikl@ubc.stu.ca,user_071Default123!,3,2019-05-02T00:00:00,false,2
user_072,auuwws,auuwws@ubc.stu.ca,user_072Default123!,4,2020-05-26T00:00:00,false,9
user_073,Freedom060286,freedom060286@ubc.stu.ca,user_073Default123!,3,2019-08-20T00:00:00,false,1
user_074,grasovec,grasovec@ubc.stu.ca,user_074Default123!,3,2019-06-22T00:00:00,false,1
user_075,Groovist_1,groovist_1@ubc.stu.ca,user_075Default123!,3,2019-08-11T00:00:00,false,1
user_076,filmaxter,filmaxter@ubc.stu.ca,user_076Default123!,3,2019-04-28T00:00:00,false,2
user_077,jalidav1980,jalidav1980@ubc.stu.ca,user_077Default123!,3,2019-04-26T00:00:00,false,1
user_078,doruksen1,doruksen1@ubc.stu.ca,user_078Default123!,3,2019-04-29T00:00:00,false,1
user_079,dekadent,dekadent@ubc.stu.ca,user_079Default123!,3,2019-05-14T00:00:00,false,1
user_080,jambalahja,jambalahja@ubc.stu.ca,user_080Default123!,3,2019-04-29T00:00:00,false,1
user_081,thenecroposter,thenecroposter@ubc.stu.ca,user_081Default123!,3,2019-06-06T00:00:00,false,1
user_082,ersta-65000,ersta-65000@ubc.stu.ca,user_082Default123!,3,2019-08-01T00:00:00,false,1
user_083,jlamarca,jlamarca@ubc.stu.ca,user_083Default123!,3,2019-04-30T00:00:00,false,1
user_084,MAYESY-44,mayesy-44@ubc.stu.ca,user_084Default123!,3,2020-05-26T00:00:00,false,4
user_085,fredlondi,fredlondi@ubc.stu.ca,user_085Default123!,3,2019-04-30T00:00:00,false,1
user_086,ddavec,ddavec@ubc.stu.ca,user_086Default123!,3,2019-08-30T00:00:00,false,1
user_087,elgsdyr,elgsdyr@ubc.stu.ca,user_087Default123!,3,2019-08-02T00:00:00,false,1
user_088,tinyone2,tinyone2@ubc.stu.ca,user_088Default123!,3,2019-08-23T00:00:00,false,1
user_089,wadjet-79-52782,wadjet-79-52782@ubc.stu.ca,user_089Default123!,3,2019-05-21T00:00:00,false,1
user_090,divyankk,divyankk@ubc.stu.ca,user_090Default123!,3,2019-04-29T00:00:00,false,1
user_091,richard-62034,richard-62034@ubc.stu.ca,user_091Default123!,3,2019-04-27T00:00:00,false,1
user_092,vingolf-01993,vingolf-01993@ubc.stu.ca,user_092Default123!,3,2019-05-01T00:00:00,false,1
user_093,bloodworia,bloodworia@ubc.stu.ca,user_093Default123!,3,2019-06-22T00:00:00,false,3
user_094,dschlatter,dschlatter@ubc.stu.ca,user_094Default123!,3,2019-05-06T00:00:00,false,2
user_095,thefonz1,thefonz1@ubc.stu.ca,user_095Default123!,3,2019-08-20T00:00:00,false,1
user_096,ol-boehm,ol-boehm@ubc.stu.ca,user_096Default123!,3,2019-04-25T00:00:00,false,2
user_097,FahimShahriar45,fahimshahriar45@ubc.stu.ca,user_097Default123!,3,2019-08-16T00:00:00,false,1
user_098,cyrusnasserystar,cyrusnasserystar@ubc.stu.ca,user_098Default123!,3,2019-04-27T00:00:00,false,1
user_099,Leofwine_draca,leofwine_draca@ubc.stu.ca,user_099Default123!,4,2020-03-02T00:00:00,false,8
user_100,driverinteractive_st,driverinteractive_st@ubc.stu.ca,user_100Default123!,3,2019-05-13T00:00:00,false,1
user_101,grglmn,grglmn@ubc.stu.ca,user_101Default123!,3,2019-05-10T00:00:00,false,1
user_102,cooper-29,cooper-29@ubc.stu.ca,user_102Default123!,3,2020-05-16T00:00:00,false,1
user_103,tkkristensen,tkkristensen@ubc.stu.ca,user_103Default123!,3,2019-04-24T00:00:00,false,2
user_104,philipp-buchecker,philipp-buchecker@ubc.stu.ca,user_104Default123!,3,2019-04-24T00:00:00,false,1
user_105,me-08123,me-08123@ubc.stu.ca,user_105Default123!,3,2019-08-12T00:00:00,false,1
user_106,burceagandrei,burceagandrei@ubc.stu.ca,user_106Default123!,3,2019-04-27T00:00:00,false,1
user_107,calebdrums,calebdrums@ubc.stu.ca,user_107Default123!,3,2019-06-21T00:00:00,false,1
user_108,DrTuvok,drtuvok@ubc.stu.ca,user_108Default123!,3,2020-05-21T00:00:00,false,3
user_109,loocsinatas,loocsinatas@ubc.stu.ca,user_109Default123!,3,2019-08-09T00:00:00,false,1
user_110,theroo200182,theroo200182@ubc.stu.ca,user_110Default123!,3,2019-04-26T00:00:00,false,1
user_111,everseescanners,everseescanners@ubc.stu.ca,user_111Default123!,3,2019-05-05T00:00:00,false,1
user_112,qmsrocker,qmsrocker@ubc.stu.ca,user_112Default123!,3,2019-05-05T00:00:00,false,1
user_113,nholloschi,nholloschi@ubc.stu.ca,user_113Default123!,3,2019-05-05T00:00:00,false,2
user_114,gambettatablette,gambettatablette@ubc.stu.ca,user_114Default123!,3,2019-04-30T00:00:00,false,1
user_115,dhb-35364,dhb-35364@ubc.stu.ca,user_115Default123!,3,2019-05-14T00:00:00,false,1
user_116,twistsoul-66116,twistsoul-66116@ubc.stu.ca,user_116Default123!,3,2019-04-28T00:00:00,false,1
user_117,uLJ,ulj@ubc.stu.ca,user_117Default123!,3,2019-08-23T00:00:00,false,2
user_118,annalenaw,annalenaw@ubc.stu.ca,user_118Default123!,3,2019-05-14T00:00:00,false,1
user_119,imamarpaul-04191,imamarpaul-04191@ubc.stu.ca,user_119Default123!,3,2019-05-06T00:00:00,false,1
user_120,WebHead62,webhead62@ubc.stu.ca,user_120Default123!,3,2019-06-03T00:00:00,false,3
user_121,Ernst-noto,ernst-noto@ubc.stu.ca,user_121Default123!,3,2019-08-06T00:00:00,false,1
user_122,ricardoguzman-99690,ricardoguzman-99690@ubc.stu.ca,user_122Default123!,3,2019-04-29T00:00:00,false,1
user_123,MissSimonetta,misssimonetta@ubc.stu.ca,user_123Default123!,4,2019-04-27T00:00:00,false,5
user_124,Merlin-Knight,merlin-knight@ubc.stu.ca,user_124Default123!,3,2019-04-29T00:00:00,false,1
user_125,scorbenking,scorbenking@ubc.stu.ca,user_125Default123!,3,2019-05-20T00:00:00,false,3
user_126,moneypennycharley,moneypennycharley@ubc.stu.ca,user_126Default123!,3,2019-04-26T00:00:00,false,3
user_127,ahsan_saadat,ahsan_saadat@ubc.stu.ca,user_127Default123!,3,2019-04-27T00:00:00,false,1
user_128,holloway-sarahjane,holloway-sarahjane@ubc.stu.ca,user_128Default123!,3,2019-04-25T00:00:00,false,2
user_129,sharad-seth,sharad-seth@ubc.stu.ca,user_129Default123!,3,2019-05-27T00:00:00,false,1
user_130,punitprakash,punitprakash@ubc.stu.ca,user_130Default123!,3,2019-04-30T00:00:00,false,2
user_131,Drat1964,drat1964@ubc.stu.ca,user_131Default123!,3,2019-08-19T00:00:00,false,1
user_132,rafaelblue,rafaelblue@ubc.stu.ca,user_132Default123!,3,2019-04-30T00:00:00,false,1
user_133,debree1138,debree1138@ubc.stu.ca,user_133Default123!,3,2019-05-04T00:00:00,false,1
user_134,samugz08,samugz08@ubc.stu.ca,user_134Default123!,3,2019-05-09T00:00:00,false,1
user_135,krishangsaini,krishangsaini@ubc.stu.ca,user_135Default123!,3,2019-05-11T00:00:00,false,1
user_136,marcusnichols,marcusnichols@ubc.stu.ca,user_136Default123!,3,2019-04-27T00:00:00,false,2
user_137,pipedpiper,pipedpiper@ubc.stu.ca,user_137Default123!,3,2019-04-25T00:00:00,false,2
user_138,Kurbanica,kurbanica@ubc.stu.ca,user_138Default123!,3,2019-06-21T00:00:00,false,2
user_139,BossBuzzerr,bossbuzzerr@ubc.stu.ca,user_139Default123!,3,2019-05-06T00:00:00,false,2
user_140,Amonute-Matoaka,amonute-matoaka@ubc.stu.ca,user_140Default123!,3,2019-04-26T00:00:00,false,1
user_141,msteaua93,msteaua93@ubc.stu.ca,user_141Default123!,3,2019-07-29T00:00:00,false,1
user_142,alahmed-55673,alahmed-55673@ubc.stu.ca,user_142Default123!,3,2021-08-01T00:00:00,false,2
user_143,andrew-10648,andrew-10648@ubc.stu.ca,user_143Default123!,3,2019-05-06T00:00:00,false,1
user_144,sumtim3s00n,sumtim3s00n@ubc.stu.ca,user_144Default123!,3,2019-04-25T00:00:00,false,1
user_145,From-DK-with-love,from-dk-with-love@ubc.stu.ca,user_145Default123!,3,2019-04-26T00:00:00,false,2
user_146,rahulkala-86648,rahulkala-86648@ubc.stu.ca,user_146Default123!,3,2019-05-01T00:00:00,false,1
user_147,turriff-96249,turriff-96249@ubc.stu.ca,user_147Default123!,3,2019-08-11T00:00:00,false,1
user_148,i_hussain_pk,i_hussain_pk@ubc.stu.ca,user_148Default123!,3,2019-04-28T00:00:00,false,1
user_149,staley-ts,staley-ts@ubc.stu.ca,user_149Default123!,3,2019-07-05T00:00:00,false,1
user_150,rmills411,rmills411@ubc.stu.ca,user_150Default123!,3,2019-08-10T00:00:00,false,1
user_151,gurpreetsingh-23756,gurpreetsingh-23756@ubc.stu.ca,user_151Default123!,3,2019-07-05T00:00:00,false,1
user_152,chetan420,chetan420@ubc.stu.ca,user_152Default123!,3,2019-05-09T00:00:00,false,2
user_153,candykubik,candykubik@ubc.stu.ca,user_153Default123!,3,2019-05-11T00:00:00,false,1
user_154,patelmashoque,patelmashoque@ubc.stu.ca,user_154Default123!,3,2019-06-15T00:00:00,false,1
user_155,imsteph555,imsteph555@ubc.stu.ca,user_155Default123!,3,2019-05-04T00:00:00,false,1
user_156,pnkstr,pnkstr@ubc.stu.ca,user_156Default123!,3,2020-05-02T00:00:00,false,2
user_157,rhettig,rhettig@ubc.stu.ca,user_157Default123!,3,2019-04-30T00:00:00,false,1
user_158,jessybessy-at,jessybessy-at@ubc.stu.ca,user_158Default123!,3,2019-08-01T00:00:00,false,1
user_159,eviljairaj,eviljairaj@ubc.stu.ca,user_159Default123!,3,2021-04-03T00:00:00,false,2
user_160,asassandroo,asassandroo@ubc.stu.ca,user_160Default123!,3,2019-04-26T00:00:00,false,3
user_161,binaryone,binaryone@ubc.stu.ca,user_161Default123!,3,2019-04-28T00:00:00,false,1
user_162,cozen,cozen@ubc.stu.ca,user_162Default123!,3,2019-04-26T00:00:00,false,1
user_163,britishcheeseboard,britishcheeseboard@ubc.stu.ca,user_163Default123!,3,2019-06-05T00:00:00,false,1
user_164,kcebenoyan,kcebenoyan@ubc.stu.ca,user_164Default123!,3,2019-04-30T00:00:00,false,1
user_165,kevin-1297,kevin-1297@ubc.stu.ca,user_165Default123!,3,2019-07-20T00:00:00,false,1
user_166,andy_aldana,andy_aldana@ubc.stu.ca,user_166Default123!,3,2019-05-03T00:00:00,false,1
user_167,pozahedi,pozahedi@ubc.stu.ca,user_167Default123!,3,2019-09-07T00:00:00,false,1
user_168,Sumpmonster,sumpmonster@ubc.stu.ca,user_168Default123!,3,2019-04-25T00:00:00,false,1
user_169,shivvaid82,shivvaid82@ubc.stu.ca,user_169Default123!,3,2019-05-05T00:00:00,false,1
user_170,fivos-64546,fivos-64546@ubc.stu.ca,user_170Default123!,3,2019-08-12T00:00:00,false,1
user_171,castravetelemascat,castravetelemascat@ubc.stu.ca,user_171Default123!,3,2019-05-01T00:00:00,false,1
user_172,Prichards12345,prichards12345@ubc.stu.ca,user_172Default123!,4,2019-04-26T00:00:00,false,6
user_173,alberthelms,alberthelms@ubc.stu.ca,user_173Default123!,3,2019-04-27T00:00:00,false,2
user_174,MovieNinjaGuy,movieninjaguy@ubc.stu.ca,user_174Default123!,3,2019-04-29T00:00:00,false,3
user_175,avinaashtech,avinaashtech@ubc.stu.ca,user_175Default123!,3,2019-04-27T00:00:00,false,1
user_176,stevemiguel,stevemiguel@ubc.stu.ca,user_176Default123!,3,2019-04-26T00:00:00,false,1
user_177,hypercube001,hypercube001@ubc.stu.ca,user_177Default123!,3,2019-07-28T00:00:00,false,1
user_178,matutecindy,matutecindy@ubc.stu.ca,user_178Default123!,3,2019-05-04T00:00:00,false,1
user_179,Smiling_slinky,smiling_slinky@ubc.stu.ca,user_179Default123!,3,2019-04-26T00:00:00,false,1
user_180,sharkas-60065,sharkas-60065@ubc.stu.ca,user_180Default123!,3,2019-05-02T00:00:00,false,1
user_181,pmarcu,pmarcu@ubc.stu.ca,user_181Default123!,3,2019-08-11T00:00:00,false,2
user_182,dronnwoods,dronnwoods@ubc.stu.ca,user_182Default123!,3,2019-04-29T00:00:00,false,1
user_183,Tungxter,tungxter@ubc.stu.ca,user_183Default123!,3,2019-08-01T00:00:00,false,1
user_184,amgad-2,amgad-2@ubc.stu.ca,user_184Default123!,3,2019-05-05T00:00:00,false,1
user_185,ahamdshawaf,ahamdshawaf@ubc.stu.ca,user_185Default123!,3,2019-05-05T00:00:00,false,2
user_186,stlygr-24064,stlygr-24064@ubc.stu.ca,user_186Default123!,3,2019-05-03T00:00:00,false,1
user_187,Hallelujah289,hallelujah289@ubc.stu.ca,user_187Default123!,3,2019-05-07T00:00:00,false,2
user_188,danielbiland,danielbiland@ubc.stu.ca,user_188Default123!,3,2019-08-31T00:00:00,false,1
user_189,joelgilb,joelgilb@ubc.stu.ca,user_189Default123!,3,2019-05-16T00:00:00,false,1
user_190,fatamorgana-40208,fatamorgana-40208@ubc.stu.ca,user_190Default123!,3,2019-12-16T00:00:00,false,1
user_191,hh-94450,hh-94450@ubc.stu.ca,user_191Default123!,3,2019-04-30T00:00:00,false,1
user_192,StarTwin82,startwin82@ubc.stu.ca,user_192Default123!,3,2019-09-03T00:00:00,false,1
user_193,tns-83391,tns-83391@ubc.stu.ca,user_193Default123!,3,2019-04-29T00:00:00,false,1
user_194,rahimiawat,rahimiawat@ubc.stu.ca,user_194Default123!,3,2019-04-26T00:00:00,false,1
user_195,madiazartist,madiazartist@ubc.stu.ca,user_195Default123!,3,2019-04-26T00:00:00,false,1
user_196,Humazza-154-782286,humazza-154-782286@ubc.stu.ca,user_196Default123!,3,2019-04-30T00:00:00,false,1
user_197,dnbaeb,dnbaeb@ubc.stu.ca,user_197Default123!,3,2019-04-28T00:00:00,false,1
user_198,pirates_of_the_carib-352-335834,pirates_of_the_carib-352-335834@ubc.stu.ca,user_198Default123!,3,2019-05-08T00:00:00,false,1
user_199,Bill-Metallinos,bill-metallinos@ubc.stu.ca,user_199Default123!,3,2019-04-27T00:00:00,false,1
user_200,mladen1987,mladen1987@ubc.stu.ca,user_200Default123!,3,2019-04-27T00:00:00,false,2
user_201,perditionreach,perditionreach@ubc.stu.ca,user_201Default123!,3,2019-05-03T00:00:00,false,1
user_202,goharddamnit,goharddamnit@ubc.stu.ca,user_202Default123!,3,2019-05-02T00:00:00,false,1
user_203,nerdgasms,nerdgasms@ubc.stu.ca,user_203Default123!,3,2019-12-01T00:00:00,false,2
user_204,majorasmask-53220,majorasmask-53220@ubc.stu.ca,user_204Default123!,3,2019-05-14T00:00:00,false,1
user_205,mr-kolding,mr-kolding@ubc.stu.ca,user_205Default123!,3,2019-05-20T00:00:00,false,1
user_206,ckmatt-77267,ckmatt-77267@ubc.stu.ca,user_206Default123!,3,2019-08-14T00:00:00,false,1
user_207,tehlers,tehlers@ubc.stu.ca,user_207Default123!,3,2019-08-05T00:00:00,false,1
user_208,drew1116,drew1116@ubc.stu.ca,user_208Default123!,3,2019-04-27T00:00:00,false,1
user_209,yolocambo,yolocambo@ubc.stu.ca,user_209Default123!,3,2019-04-28T00:00:00,false,1
user_210,Weirdo-Magnet,weirdo-magnet@ubc.stu.ca,user_210Default123!,3,2019-05-08T00:00:00,false,1
user_211,markolos,markolos@ubc.stu.ca,user_211Default123!,3,2019-04-29T00:00:00,false,1
user_212,ivan-croft,ivan-croft@ubc.stu.ca,user_212Default123!,3,2019-05-04T00:00:00,false,1
user_213,msharma-87751,msharma-87751@ubc.stu.ca,user_213Default123!,3,2019-04-29T00:00:00,false,2
user_214,deef-deef,deef-deef@ubc.stu.ca,user_214Default123!,3,2019-08-02T00:00:00,false,1
user_215,kwenchow,kwenchow@ubc.stu.ca,user_215Default123!,4,2019-04-28T00:00:00,false,5
user_216,redkyng,redkyng@ubc.stu.ca,user_216Default123!,4,2019-09-30T00:00:00,false,5
user_217,partridgecj,partridgecj@ubc.stu.ca,user_217Default123!,3,2019-04-26T00:00:00,false,1
user_218,SunDre,sundre@ubc.stu.ca,user_218Default123!,3,2019-05-05T00:00:00,false,1
user_219,harold-jimenez,harold-jimenez@ubc.stu.ca,user_219Default123!,3,2019-05-07T00:00:00,false,1
user_220,psycrology84,psycrology84@ubc.stu.ca,user_220Default123!,3,2019-04-27T00:00:00,false,2
user_221,brenton_moyle,brenton_moyle@ubc.stu.ca,user_221Default123!,3,2019-05-06T00:00:00,false,1
user_222,J49afc,j49afc@ubc.stu.ca,user_222Default123!,3,2019-05-03T00:00:00,false,2
user_223,mohamaddallashe,mohamaddallashe@ubc.stu.ca,user_223Default123!,3,2019-04-27T00:00:00,false,1
user_224,normandy-215-430694,normandy-215-430694@ubc.stu.ca,user_224Default123!,3,2019-05-04T00:00:00,false,1
user_225,cj-thomas,cj-thomas@ubc.stu.ca,user_225Default123!,3,2019-04-29T00:00:00,false,1
user_226,aaronyarm,aaronyarm@ubc.stu.ca,user_226Default123!,3,2019-04-29T00:00:00,false,1
user_227,greatbritton-13636,greatbritton-13636@ubc.stu.ca,user_227Default123!,3,2019-04-26T00:00:00,false,2
user_228,jim921977,jim921977@ubc.stu.ca,user_228Default123!,3,2021-05-13T00:00:00,false,1
user_229,Venge,venge@ubc.stu.ca,user_229Default123!,3,2019-05-06T00:00:00,false,1
user_230,ftdbryant,ftdbryant@ubc.stu.ca,user_230Default123!,3,2019-05-04T00:00:00,false,1
user_231,marc_rajji,marc_rajji@ubc.stu.ca,user_231Default123!,3,2019-04-29T00:00:00,false,1
user_232,andretraboulsy,andretraboulsy@ubc.stu.ca,user_232Default123!,3,2019-05-06T00:00:00,false,1
user_233,murtdoc,murtdoc@ubc.stu.ca,user_233Default123!,3,2019-04-25T00:00:00,false,1
user_234,rpaoletta,rpaoletta@ubc.stu.ca,user_234Default123!,3,2019-05-02T00:00:00,false,1
user_235,suzana-profeta,suzana-profeta@ubc.stu.ca,user_235Default123!,3,2019-05-04T00:00:00,false,1
user_236,bergchamp,bergchamp@ubc.stu.ca,user_236Default123!,3,2019-10-01T00:00:00,false,1
user_237,stevakiassassin,stevakiassassin@ubc.stu.ca,user_237Default123!,3,2019-04-30T00:00:00,false,1
user_238,srdjan_veljkovic,srdjan_veljkovic@ubc.stu.ca,user_238Default123!,3,2019-04-24T00:00:00,false,2
user_239,da_ruud,da_ruud@ubc.stu.ca,user_239Default123!,3,2019-05-08T00:00:00,false,1
user_240,pingvinanderson,pingvinanderson@ubc.stu.ca,user_240Default123!,3,2019-09-03T00:00:00,false,1
user_241,kawsershopno,kawsershopno@ubc.stu.ca,user_241Default123!,3,2020-12-28T00:00:00,false,1
user_242,BigKlevice,bigklevice@ubc.stu.ca,user_242Default123!,3,2019-07-23T00:00:00,false,1
user_243,swordlady72,swordlady72@ubc.stu.ca,user_243Default123!,3,2019-04-26T00:00:00,false,1
user_244,kaden_lewis,kaden_lewis@ubc.stu.ca,user_244Default123!,3,2021-06-27T00:00:00,false,4
user_245,pugs1970,pugs1970@ubc.stu.ca,user_245Default123!,3,2019-04-30T00:00:00,false,1
user_246,brucegrazier,brucegrazier@ubc.stu.ca,user_246Default123!,3,2019-04-28T00:00:00,false,1
user_247,kirrwed,kirrwed@ubc.stu.ca,user_247Default123!,3,2019-04-26T00:00:00,false,1
user_248,petercarson-08335,petercarson-08335@ubc.stu.ca,user_248Default123!,3,2019-04-27T00:00:00,false,1
user_249,cagadirmagadir,cagadirmagadir@ubc.stu.ca,user_249Default123!,3,2019-05-03T00:00:00,false,2
user_250,ljsmith-25626,ljsmith-25626@ubc.stu.ca,user_250Default123!,3,2020-06-05T00:00:00,false,2
user_251,IQ42,iq42@ubc.stu.ca,user_251Default123!,4,2021-12-09T00:00:00,false,5
user_252,sourabh_sarma,sourabh_sarma@ubc.stu.ca,user_252Default123!,3,2019-08-08T00:00:00,false,1
user_253,mahdikey,mahdikey@ubc.stu.ca,user_253Default123!,3,2019-08-03T00:00:00,false,1
